device,activeDuration,bestScore,bestScoreIndex,bestSubMeanCount,bestSubMeanRatio,consecutivePlayRatio,meanScore,playCount,sdScore,worstScore,firstPlayTime,lastPlayTime,individualOPEnd,individualCPEnd,playsInCP,is_churned,observationPeriodDays,churnPredictionDays
0,0.03166666666666667,115,0.3333333333333333,19.0,0.9827586206896551,1.0,58.0,3,51.73973328110612,14,2015-04-11 11:52:38,2015-04-11 11:54:32,2015-04-16 11:52:38,2015-04-26 11:52:38,0,1,5,10
000000000000000,0.017777777777777778,7,0.3333333333333333,1.222222222222222,1.0999999999999999,1.0,3.3333333333333335,3,3.2145502536643185,1,2015-01-23 02:04:44,2015-01-23 02:05:48,2015-01-28 02:04:44,2015-02-07 02:04:44,0,1,5,10
010941525590041,0.0,21,0.0,0.0,0.0,0.0,21.0,1,0.0,21,2015-07-07 10:33:00,2015-07-07 10:33:00,2015-07-12 10:33:00,2015-07-22 10:33:00,0,1,5,10
012345678901237,0.014444444444444444,33,0.0,0.25,0.015384615384615385,1.0,32.5,2,0.7071067811865476,32,2015-02-23 03:24:43,2015-02-23 03:25:35,2015-02-28 03:24:43,2015-03-10 03:24:43,0,1,5,10
012345678912345,0.013055555555555556,30,0.8,3.7600000000000002,1.6785714285714288,1.0,11.2,5,13.479614237803693,0,2015-02-22 08:51:46,2015-02-22 08:52:33,2015-02-27 08:51:46,2015-03-09 08:51:46,0,1,5,10
012379008003018,0.0,110,0.0,0.0,0.0,0.0,110.0,1,0.0,110,2015-05-18 09:59:52,2015-05-18 09:59:52,2015-05-23 09:59:52,2015-06-02 09:59:52,0,1,5,10
012403004537025,0.010555555555555556,22,0.5,2.9375,1.146341463414634,1.0,10.25,4,9.464847243000456,0,2015-02-05 03:24:45,2015-02-05 03:25:23,2015-02-10 03:24:45,2015-02-20 03:24:45,0,1,5,10
012682008960503,0.0,595,0.0,0.0,0.0,0.0,595.0,1,0.0,595,2015-05-05 06:58:15,2015-05-05 06:58:15,2015-05-10 06:58:15,2015-05-20 06:58:15,0,1,5,10
012682009206831,0.0,29,0.0,0.0,0.0,0.0,29.0,1,0.0,29,2015-01-25 23:16:13,2015-01-25 23:16:13,2015-01-30 23:16:13,2015-02-09 23:16:13,0,1,5,10
012918004128418,0.0,11,0.0,0.0,0.0,0.0,11.0,1,0.0,11,2015-03-13 06:14:56,2015-03-13 06:14:56,2015-03-18 06:14:56,2015-03-28 06:14:56,0,1,5,10
013460002038033,0.002777777777777778,16,0.0,3.75,0.8823529411764706,1.0,8.5,2,10.606601717798213,1,2016-01-09 08:57:54,2016-01-09 08:58:04,2016-01-14 08:57:54,2016-01-24 08:57:54,0,1,5,10
013689004460635,20.11611111111111,19,0.16666666666666666,1.7777777777777777,1.2799999999999998,1.0,8.333333333333334,6,7.659416862050705,1,2015-02-04 03:45:07,2015-02-04 23:52:05,2015-02-09 03:45:07,2015-02-19 03:45:07,0,1,5,10
013695002154427,0.0,249,0.0,0.0,0.0,0.0,249.0,1,0.0,249,2015-04-14 09:23:49,2015-04-14 09:23:49,2015-04-19 09:23:49,2015-04-29 09:23:49,0,1,5,10
013703000737787,97.79277777777777,1126,0.3333333333333333,244.0,1.8578680203045685,0.5,394.0,3,634.2783300728474,7,2015-03-09 01:04:20,2015-03-13 02:51:54,2015-03-14 01:04:20,2015-03-24 01:04:20,2,0,5,10
014035001426733,2.973888888888889,32,0.5,4.875,1.56,1.0,12.5,4,13.892443989449804,0,2015-01-25 16:04:41,2015-01-25 19:03:07,2015-01-30 16:04:41,2015-02-09 16:04:41,0,1,5,10
014089000840824,0.0,20,0.0,0.0,0.0,0.0,20.0,1,0.0,20,2015-02-16 00:36:23,2015-02-16 00:36:23,2015-02-21 00:36:23,2015-03-03 00:36:23,0,1,5,10
014097000302455,21.100555555555555,168,0.7142857142857143,9.10204081632653,3.1408450704225355,1.0,40.57142857142857,14,43.96452116058039,1,2015-04-11 12:01:03,2015-04-12 09:07:05,2015-04-16 12:01:03,2015-04-26 12:01:03,4,0,5,10
014097001014984,0.0,20,0.0,0.0,0.0,0.0,20.0,1,0.0,20,2015-10-25 12:01:38,2015-10-25 12:01:38,2015-10-30 12:01:38,2015-11-09 12:01:38,0,1,5,10
014097008062978,20.927777777777777,507,0.5384615384615384,27.159763313609467,2.2938530734632683,1.0,153.92307692307693,13,188.2987261146773,0,2015-04-26 08:32:36,2015-04-27 05:28:16,2015-05-01 08:32:36,2015-05-11 08:32:36,0,1,5,10
014097008353997,0.13055555555555556,335,0.16666666666666666,37.80555555555555,2.097072419106317,1.0,108.16666666666667,6,118.56039248697965,1,2016-02-27 10:16:14,2016-02-27 10:24:04,2016-03-03 10:16:14,2016-03-13 10:16:14,0,1,5,10
014209003453256,0.016666666666666666,33,0.3333333333333333,4.444444444444444,0.6779661016949151,1.0,19.666666666666668,3,11.930353445448855,10,2015-02-10 04:31:49,2015-02-10 04:32:49,2015-02-15 04:31:49,2015-02-25 04:31:49,0,1,5,10
014209005329983,0.0,59,0.0,0.0,0.0,0.0,59.0,1,0.0,59,2015-03-29 22:24:44,2015-03-29 22:24:44,2015-04-03 22:24:44,2015-04-13 22:24:44,0,1,5,10
014209006852652,0.012222222222222223,50,0.5,8.0,0.47058823529411764,1.0,34.0,2,22.627416997969522,18,2015-01-20 04:49:14,2015-01-20 04:49:58,2015-01-25 04:49:14,2015-02-04 04:49:14,0,1,5,10
014300001269461,0.04027777777777778,236,0.0,25.777777777777782,0.4873949579831934,1.0,158.66666666666666,3,84.78993650978478,68,2015-11-06 11:16:26,2015-11-06 11:18:51,2015-11-11 11:16:26,2015-11-21 11:16:26,0,1,5,10
014300001771847,116.39861111111111,179,0.5,28.25,0.46122448979591835,0.0,122.5,2,79.90306627407988,66,2015-08-22 15:57:00,2015-08-27 12:20:55,2015-08-27 15:57:00,2015-09-06 15:57:00,0,1,5,10
014300009860097,13.803333333333333,15,0.3333333333333333,2.555555555555556,1.0454545454545456,1.0,7.333333333333333,3,7.094598884597588,1,2015-10-03 10:07:46,2015-10-03 23:55:58,2015-10-08 10:07:46,2015-10-18 10:07:46,0,1,5,10
014316006137438,0.1713888888888889,86,0.8,4.9,1.3243243243243243,1.0,37.0,10,33.0420607374567,4,2015-07-11 23:00:01,2015-07-11 23:10:18,2015-07-16 23:00:01,2015-07-26 23:00:01,0,1,5,10
047659999131874,0.0,157,0.0,0.0,0.0,0.0,157.0,1,0.0,157,2015-10-01 07:07:26,2015-10-01 07:07:26,2015-10-06 07:07:26,2015-10-16 07:07:26,0,1,5,10
067545234590338,0.0,73,0.0,0.0,0.0,0.0,73.0,1,0.0,73,2015-01-16 15:11:59,2015-01-16 15:11:59,2015-01-21 15:11:59,2015-01-31 15:11:59,0,1,5,10
083406551353802,0.0,81,0.0,0.0,0.0,0.0,81.0,1,0.0,81,2015-08-17 02:36:53,2015-08-17 02:36:53,2015-08-22 02:36:53,2015-09-01 02:36:53,0,1,5,10
101942453080005,0.016944444444444446,33,0.5,5.5,0.5,1.0,22.0,2,15.556349186104045,11,2015-01-13 20:53:19,2015-01-13 20:54:20,2015-01-18 20:53:19,2015-01-28 20:53:19,0,1,5,10
123464896549469,0.0,106,0.0,0.0,0.0,0.0,106.0,1,0.0,106,2015-04-11 03:27:08,2015-04-11 03:27:08,2015-04-16 03:27:08,2015-04-26 03:27:08,0,1,5,10
130590754161738,0.0,90,0.0,0.0,0.0,0.0,90.0,1,0.0,90,2015-08-17 02:23:12,2015-08-17 02:23:12,2015-08-22 02:23:12,2015-09-01 02:23:12,0,1,5,10
156214715891025,0.0,37,0.0,0.0,0.0,0.0,37.0,1,0.0,37,2015-07-04 11:50:09,2015-07-04 11:50:09,2015-07-09 11:50:09,2015-07-19 11:50:09,0,1,5,10
209195751810746,0.0,101,0.0,0.0,0.0,0.0,101.0,1,0.0,101,2015-03-30 10:04:54,2015-03-30 10:04:54,2015-04-04 10:04:54,2015-04-14 10:04:54,0,1,5,10
214127121535147,0.0,70,0.0,0.0,0.0,0.0,70.0,1,0.0,70,2015-04-12 06:40:57,2015-04-12 06:40:57,2015-04-17 06:40:57,2015-04-27 06:40:57,0,1,5,10
275028977063406,0.0,25,0.0,0.0,0.0,0.0,25.0,1,0.0,25,2015-04-30 08:40:48,2015-04-30 08:40:48,2015-05-05 08:40:48,2015-05-15 08:40:48,0,1,5,10
297127726217378,0.0,2,0.0,0.0,0.0,0.0,2.0,1,0.0,2,2015-11-07 07:17:54,2015-11-07 07:17:54,2015-11-12 07:17:54,2015-11-22 07:17:54,0,1,5,10
350048607761391,0.028888888888888888,114,0.5,10.75,0.23243243243243245,1.0,92.5,2,30.405591591021544,71,2015-02-22 09:28:03,2015-02-22 09:29:47,2015-02-27 09:28:03,2015-03-09 09:28:03,0,1,5,10
35030526000000,0.036944444444444446,89,0.8333333333333334,8.583333333333334,1.3733333333333333,1.0,37.5,6,31.443600302764313,3,2016-02-08 09:23:19,2016-02-08 09:25:32,2016-02-13 09:23:19,2016-02-23 09:23:19,0,1,5,10
350897533710793,0.0,128,0.0,0.0,0.0,0.0,128.0,1,0.0,128,2016-02-04 09:54:46,2016-02-04 09:54:46,2016-02-09 09:54:46,2016-02-19 09:54:46,0,1,5,10
351023784149915,0.0,40,0.0,0.0,0.0,0.0,40.0,1,0.0,40,2016-01-29 11:58:04,2016-01-29 11:58:04,2016-02-03 11:58:04,2016-02-13 11:58:04,0,1,5,10
351191759442115,0.0,93,0.0,0.0,0.0,0.0,93.0,1,0.0,93,2015-12-12 13:27:58,2015-12-12 13:27:58,2015-12-17 13:27:58,2015-12-27 13:27:58,0,1,5,10
351304100011221,0.021666666666666667,94,0.6666666666666666,16.0,1.0434782608695652,1.0,46.0,3,43.55456348076513,9,2016-02-12 11:49:19,2016-02-12 11:50:37,2016-02-17 11:49:19,2016-02-27 11:49:19,0,1,5,10
351441299720321,0.0,88,0.0,0.0,0.0,0.0,88.0,1,0.0,88,2015-11-24 07:05:38,2015-11-24 07:05:38,2015-11-29 07:05:38,2015-12-09 07:05:38,0,1,5,10
351508060018113,21.85388888888889,129,0.0,7.461538461538462,3.03125,1.0,32.0,13,34.22474738158535,4,2015-12-25 12:08:12,2015-12-26 09:59:26,2015-12-30 12:08:12,2016-01-09 12:08:12,0,1,5,10
351508060031702,0.015833333333333335,150,0.0,23.5,0.4563106796116505,1.0,103.0,2,66.46803743153546,56,2015-02-24 05:13:38,2015-02-24 05:14:35,2015-03-01 05:13:38,2015-03-11 05:13:38,0,1,5,10
351508060116685,0.14722222222222223,523,0.0,57.25,0.2802937576499388,1.0,408.5,2,161.92745289171938,294,2016-01-06 15:16:11,2016-01-06 15:25:01,2016-01-11 15:16:11,2016-01-21 15:16:11,0,1,5,10
351508060126460,0.029166666666666667,548,0.0,85.25,0.45165562913907287,1.0,377.5,2,241.1234123846127,207,2016-02-15 12:59:40,2016-02-15 13:01:25,2016-02-20 12:59:40,2016-03-01 12:59:40,0,1,5,10
351508060142863,0.020555555555555556,120,0.5,1.25,0.02127659574468085,1.0,117.5,2,3.5355339059327378,115,2015-12-24 15:19:50,2015-12-24 15:21:04,2015-12-29 15:19:50,2016-01-08 15:19:50,0,1,5,10
351508060197719,0.060833333333333336,1641,0.0,300.0,1.214574898785425,1.0,741.0,3,801.0773995064397,106,2015-01-17 09:35:45,2015-01-17 09:39:24,2015-01-22 09:35:45,2015-02-01 09:35:45,0,1,5,10
351508060217814,0.0,1015,0.0,0.0,0.0,0.0,1015.0,1,0.0,1015,2016-01-06 07:07:42,2016-01-06 07:07:42,2016-01-11 07:07:42,2016-01-21 07:07:42,0,1,5,10
351508060273049,0.0425,486,0.5,120.75,0.9877300613496932,1.0,244.5,2,341.5325753131024,3,2015-11-27 11:59:53,2015-11-27 12:02:26,2015-12-02 11:59:53,2015-12-12 11:59:53,0,1,5,10
351508060293930,0.04416666666666667,595,0.5,42.0,0.1643835616438356,1.0,511.0,2,118.79393923933998,427,2015-12-14 00:58:02,2015-12-14 01:00:41,2015-12-19 00:58:02,2015-12-29 00:58:02,0,1,5,10
351508060316715,0.024166666666666666,255,0.5,63.75,1.0,1.0,127.5,2,180.31222920256963,0,2016-01-31 10:25:38,2016-01-31 10:27:05,2016-02-05 10:25:38,2016-02-15 10:25:38,0,1,5,10
351508060327555,0.0,51,0.0,0.0,0.0,0.0,51.0,1,0.0,51,2015-05-29 21:43:55,2015-05-29 21:43:55,2015-06-03 21:43:55,2015-06-13 21:43:55,0,1,5,10
351508060362552,0.0,900,0.0,0.0,0.0,0.0,900.0,1,0.0,900,2015-08-14 04:30:44,2015-08-14 04:30:44,2015-08-19 04:30:44,2015-08-29 04:30:44,0,1,5,10
351508060415889,0.0,71,0.0,0.0,0.0,0.0,71.0,1,0.0,71,2016-04-18 10:47:04,2016-04-18 10:47:04,2016-04-23 10:47:04,2016-05-03 10:47:04,0,1,5,10
351508060437321,0.01361111111111111,42,0.5,3.25,0.18309859154929578,1.0,35.5,2,9.192388155425117,29,2015-02-18 10:14:02,2015-02-18 10:14:51,2015-02-23 10:14:02,2015-03-05 10:14:02,0,1,5,10
351508060444947,0.04472222222222222,508,0.6666666666666666,110.66666666666667,1.8863636363636365,1.0,176.0,3,287.6942821816242,0,2016-02-06 13:15:57,2016-02-06 13:18:38,2016-02-11 13:15:57,2016-02-21 13:15:57,0,1,5,10
351508060463319,0.025277777777777777,238,0.0,22.75,0.23636363636363636,1.0,192.5,2,64.34671708797582,147,2015-02-18 02:54:45,2015-02-18 02:56:16,2015-02-23 02:54:45,2015-03-05 02:54:45,0,1,5,10
351508060540819,0.021388888888888888,75,0.6666666666666666,14.555555555555557,1.393617021276596,1.0,31.333333333333332,3,37.84617990409777,8,2015-03-04 08:35:31,2015-03-04 08:36:48,2015-03-09 08:35:31,2015-03-19 08:35:31,0,1,5,10
351508060582076,0.0,67,0.0,0.0,0.0,0.0,67.0,1,0.0,67,2015-08-04 18:08:51,2015-08-04 18:08:51,2015-08-09 18:08:51,2015-08-19 18:08:51,0,1,5,10
351508060611305,0.0,78,0.0,0.0,0.0,0.0,78.0,1,0.0,78,2015-11-25 11:49:35,2015-11-25 11:49:35,2015-11-30 11:49:35,2015-12-10 11:49:35,0,1,5,10
351508060633986,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,2016-02-01 16:02:27,2016-02-01 16:02:27,2016-02-06 16:02:27,2016-02-16 16:02:27,0,1,5,10
351508060658900,0.0,57,0.0,0.0,0.0,0.0,57.0,1,0.0,57,2015-01-24 19:51:37,2015-01-24 19:51:37,2015-01-29 19:51:37,2015-02-08 19:51:37,0,1,5,10
351508060670541,0.0,550,0.0,0.0,0.0,0.0,550.0,1,0.0,550,2015-03-22 08:02:03,2015-03-22 08:02:03,2015-03-27 08:02:03,2015-04-06 08:02:03,0,1,5,10
351508060810576,0.45472222222222225,7004,0.5,975.75,0.3862444334487877,1.0,5052.5,2,2759.837766971095,3101,2015-12-04 03:04:16,2015-12-04 03:31:33,2015-12-09 03:04:16,2015-12-19 03:04:16,0,1,5,10
351508060815070,0.0,220,0.0,0.0,0.0,0.0,220.0,1,0.0,220,2015-05-15 16:30:41,2015-05-15 16:30:41,2015-05-20 16:30:41,2015-05-30 16:30:41,0,1,5,10
351508060830327,0.0,5,0.0,0.0,0.0,0.0,5.0,1,0.0,5,2016-02-14 06:13:17,2016-02-14 06:13:17,2016-02-19 06:13:17,2016-02-29 06:13:17,0,1,5,10
351508060850457,0.0,956,0.0,0.0,0.0,0.0,956.0,1,0.0,956,2015-01-29 07:47:01,2015-01-29 07:47:01,2015-02-03 07:47:01,2015-02-13 07:47:01,1,0,5,10
351508060906416,0.2588888888888889,5063,0.5,1109.0,0.7796133567662565,1.0,2845.0,2,3136.7256813435247,627,2015-12-14 11:13:09,2015-12-14 11:28:41,2015-12-19 11:13:09,2015-12-29 11:13:09,0,1,5,10
351508060960645,0.0,172,0.0,0.0,0.0,0.0,172.0,1,0.0,172,2015-03-08 01:11:49,2015-03-08 01:11:49,2015-03-13 01:11:49,2015-03-23 01:11:49,0,1,5,10
351508060986061,0.09194444444444444,438,0.5,102.25,0.8758029978586723,1.0,233.5,2,289.20667350529794,29,2015-10-31 10:57:03,2015-10-31 11:02:34,2015-11-05 10:57:03,2015-11-15 10:57:03,0,1,5,10
351508060986640,0.0,793,0.0,0.0,0.0,0.0,793.0,1,0.0,793,2015-11-09 05:42:29,2015-11-09 05:42:29,2015-11-14 05:42:29,2015-11-24 05:42:29,0,1,5,10
351508061056567,0.021944444444444444,76,0.5,9.0,0.3103448275862069,1.0,58.0,2,25.45584412271571,40,2016-01-01 03:52:42,2016-01-01 03:54:01,2016-01-06 03:52:42,2016-01-16 03:52:42,0,1,5,10
351508061057318,90.72305555555556,515,0.7142857142857143,26.744897959183675,2.6636178861788617,0.8461538461538461,140.57142857142858,14,165.21441280288533,1,2015-08-28 11:36:26,2015-09-01 06:19:49,2015-09-02 11:36:26,2015-09-12 11:36:26,4,0,5,10
351508061078058,6.897777777777778,244,0.26666666666666666,7.946666666666667,0.9551282051282052,1.0,124.8,15,80.47377567523827,17,2015-02-02 01:54:39,2015-02-02 08:48:31,2015-02-07 01:54:39,2015-02-17 01:54:39,0,1,5,10
351508061132053,0.0,1047,0.0,0.0,0.0,0.0,1047.0,1,0.0,1047,2015-02-02 22:32:29,2015-02-02 22:32:29,2015-02-07 22:32:29,2015-02-17 22:32:29,0,1,5,10
351508061154222,0.0,126,0.0,0.0,0.0,0.0,126.0,1,0.0,126,2015-01-14 06:13:01,2015-01-14 06:13:01,2015-01-19 06:13:01,2015-01-29 06:13:01,0,1,5,10
351508061221567,0.0,72,0.0,0.0,0.0,0.0,72.0,1,0.0,72,2015-04-13 03:58:03,2015-04-13 03:58:03,2015-04-18 03:58:03,2015-04-28 03:58:03,0,1,5,10
351508061246507,100.94,239,0.5,43.75,0.5775577557755776,0.0,151.5,2,123.74368670764582,64,2015-11-13 06:18:14,2015-11-17 11:14:38,2015-11-18 06:18:14,2015-11-28 06:18:14,0,1,5,10
351508061269509,0.18083333333333335,1406,0.5,348.0,0.9802816901408451,1.0,710.0,2,984.2926394116741,14,2015-04-08 02:20:09,2015-04-08 02:31:00,2015-04-13 02:20:09,2015-04-23 02:20:09,0,1,5,10
351508061335888,0.0,302,0.0,0.0,0.0,0.0,302.0,1,0.0,302,2016-02-13 06:06:09,2016-02-13 06:06:09,2016-02-18 06:06:09,2016-02-28 06:06:09,0,1,5,10
351508061355696,30.868055555555557,639,0.9,34.13,1.146456163923413,0.8888888888888888,297.7,10,219.75645610538953,70,2016-01-30 20:35:06,2016-02-01 03:27:11,2016-02-04 20:35:06,2016-02-14 20:35:06,3,0,5,10
351508061389554,0.0,444,0.0,0.0,0.0,0.0,444.0,1,0.0,444,2015-01-15 13:04:31,2015-01-15 13:04:31,2015-01-20 13:04:31,2015-01-30 13:04:31,0,1,5,10
351508061402175,0.0,40,0.0,0.0,0.0,0.0,40.0,1,0.0,40,2015-02-15 08:27:45,2015-02-15 08:27:45,2015-02-20 08:27:45,2015-03-02 08:27:45,0,1,5,10
351508061403405,0.0,23,0.0,0.0,0.0,0.0,23.0,1,0.0,23,2015-06-12 14:28:45,2015-06-12 14:28:45,2015-06-17 14:28:45,2015-06-27 14:28:45,0,1,5,10
351508061416555,0.0,1436,0.0,0.0,0.0,0.0,1436.0,1,0.0,1436,2015-04-02 19:30:37,2015-04-02 19:30:37,2015-04-07 19:30:37,2015-04-17 19:30:37,0,1,5,10
351508061444730,46.12694444444445,3641,0.8,551.8,3.1281179138321997,0.75,882.0,5,1564.3471481739596,1,2015-06-30 10:50:07,2015-07-02 08:57:44,2015-07-05 10:50:07,2015-07-15 10:50:07,0,1,5,10
351508061469638,13.524444444444445,689,0.4,86.47999999999999,1.6851130163678876,1.0,256.6,5,259.38639131612126,4,2016-02-06 11:56:34,2016-02-07 01:28:02,2016-02-11 11:56:34,2016-02-21 11:56:34,0,1,5,10
351508061515448,0.0,1085,0.0,0.0,0.0,0.0,1085.0,1,0.0,1085,2016-04-24 10:39:06,2016-04-24 10:39:06,2016-04-29 10:39:06,2016-05-09 10:39:06,0,1,5,10
